2020-09-21,47,09:03,18.52,6.18

2020-09-21,48,09:19,14.24,2.64

2020-09-21,49,09:34,22.56,5.22

2020-09-21,50,09:49,33.72,6.45

2020-09-21,51,10:05,17.58,5.13

2020-09-21,52,10:20,24.48,5.17

2020-09-22,1,00:06,1.5,0.32
2020-09-22,2,00:21,36.39,8.11
2020-09-22,3,00:37,32.97,6.64
2020-09-22,4,00:52,20.51,3.07
2020-09-22,5,01:07,10.89,1.11
2020-09-22,6,01:23,29.72,6.24
2020-09-22,7,01:38,33.77,6.5
2020-09-22,8,01:53,34.29,5.98
2020-09-22,9,02:09,34.56,8.72
2020-09-22,10,02:24,34.13,7.33
2020-09-22,11,02:39,21.54,5.62
2020-09-22,12,02:55,32.19,7.01
2020-09-22,13,03:10,32.28,9.68
2020-09-22,14,03:26,32.51,7.94
2020-09-22,15,03:41,32.58,9.21
2020-09-22,16,03:56,36.63,7.64
2020-09-22,17,04:12,32.71,8.61
2020-09-22,18,04:27,34.49,7.15
2020-09-22,19,04:42,24.22,6.61
2020-09-22,20,04:58,35.44,6.66
2020-09-22,21,05:13,33.77,9.98
2020-09-22,22,05:28,33.8,8.53
2020-09-22,23,05:44,27.71,8.65
2020-09-22,24,05:59,35.12,9.34
2020-09-22,25,06:14,32.31,7.02
2020-09-22,26,06:30,34.94,9.61
2020-09-22,27,06:45,34.5,9.56
2020-09-22,28,07:00,34.18,7.16
2020-09-22,29,07:16,31.04,3.72
2020-09-22,30,07:31,29.04,8.32
2020-09-22,31,07:46,19.78,7.01
2020-09-22,32,08:02,13.8,3.38
2020-09-22,33,08:17,25.36,4.96
2020-09-22,34,08:33,11.87,3.49
2020-09-22,35,08:48,22.29,0.72
2020-09-22,1,09:31,30.99,10.33
2020-09-22,2,09:47,33.05,9.77
2020-09-22,3,10:02,32.07,11.11
2020-09-22,4,10:17,46.13,10.61
2020-09-22,5,10:33,31.67,8.39
2020-09-22,6,10:48,25.96,8.35
2020-09-22,7,11:03,5.96,6.55
2020-09-22,8,11:19,6.37,7.48
2020-09-22,9,11:34,27.77,3.37
2020-09-22,10,11:49,32.02,6.4
2020-09-22,11,12:05,36.59,11.07
2020-09-22,12,12:20,26.51,10.58
2020-09-22,13,12:36,28.79,9.65
2020-09-22,14,12:51,46.4,10.96
2020-09-22,15,13:06,38.89,11.37
2020-09-22,16,13:22,39.26,11.45
2020-09-22,17,13:37,27.19,8.31
2020-09-22,18,13:52,28.67,7.71
2020-09-22,19,14:08,35.38,8.15
2020-09-22,20,14:23,17.93,6.91
2020-09-22,21,14:38,19.84,8.93
2020-09-22,22,14:54,30.67,10.53
2020-09-22,23,15:09,33.65,11.15
2020-09-22,24,15:24,38.71,11.45
2020-09-22,25,15:40,33.61,11.52
2020-09-22,26,15:55,36.45,11.22
2020-09-22,27,16:10,20.98,10.19
2020-09-22,28,16:26,28.65,8.81
2020-09-22,29,16:41,16.81,10.14
2020-09-22,30,16:56,28.41,11.18
2020-09-22,31,17:12,26.19,10.74
2020-09-22,32,17:27,25.92,10.91
2020-09-22,33,17:42,16.71,10.29
2020-09-22,34,17:58,22.92,11.33
2020-09-22,35,18:13,14.48,8.63
2020-09-22,36,18:28,17.2,6.6
2020-09-22,37,18:44,25.84,10.21
2020-09-22,38,18:59,21.6,8.67
2020-09-22,39,19:15,4.46,0.93
2020-09-22,40,19:30,27.55,9.67
2020-09-22,41,19:45,33.15,11.28
2020-09-22,42,20:01,26.74,9.02
2020-09-22,20:29,39.59,10.86
2020-09-22,20:29,40.65,10.85
2020-09-22,20:30,48.48,10.49
2020-09-22,20:35,40.05,10.99
2020-09-22,20:45,14.33,7.43
2020-09-22,21:00,1.07,0.83
2020-09-22,21:15,19.08,5.72
2020-09-22,21:30,28.53,7.52
2020-09-22,21:45,23.25,9.68
2020-09-22,22:00,11.63,5.23
2020-09-22,22:15,16.61,6.18
2020-09-22,22:30,25.84,8.12
2020-09-22,22:45,23.58,2.32
2020-09-22,23:00,21.5,4.33
2020-09-22,23:15,24.88,5.0
2020-09-22,23:30,41.3,7.87
2020-09-22,23:45,27.2,10.22
2020-09-23,00:00,30.76,6.6
2020-09-23,00:15,43.74,8.41
2020-09-23,00:30,31.41,6.12
2020-09-23,00:45,26.24,6.91
2020-09-23,01:00,22.68,10.76
2020-09-23,01:15,2.74,1.54
2020-09-23,01:30,40.43,11.42
2020-09-23,01:45,41.03,8.92
2020-09-23,02:00,42.36,11.16
2020-09-23,02:15,32.0,5.64
2020-09-23,02:30,23.48,4.77
2020-09-23,02:45,34.49,10.28
2020-09-23,03:00,5.74,6.58
2020-09-23,03:15,36.47,11.17
2020-09-23,03:30,2.1,5.46
2020-09-23,03:45,29.34,4.71
2020-09-23,04:00,24.17,2.62
2020-09-23,04:15,24.6,3.8
2020-09-23,04:30,7.59,5.2
2020-09-23,04:45,5.46,4.47
2020-09-23,05:00,11.61,3.26
2020-09-23,05:15,4.16,2.21
2020-09-23,05:30,14.9,1.78
2020-09-23,05:45,5.84,2.88
2020-09-23,06:00,3.25,1.01
2020-09-23,06:15,1.54,0.63
2020-09-23,06:30,2.05,0.88
2020-09-23,06:45,25.45,4.59
2020-09-23,07:00,7.16,6.21
2020-09-23,07:15,5.5,5.43
2020-09-23,07:30,17.62,6.03
2020-09-23,07:45,26.25,4.87
2020-09-23,08:00,21.95,1.65
2020-09-23,08:15,34.94,5.03
2020-09-23,08:30,25.91,3.12
2020-09-23,08:45,37.61,5.18
2020-09-23,09:00,31.58,8.37
2020-09-23,09:15,17.21,7.37
2020-09-23,09:30,20.77,3.2
2020-09-23,09:45,4.36,6.85
2020-09-23,10:00,9.15,1.24
2020-09-23,10:15,20.02,2.13
2020-09-23,10:30,29.82,5.77
2020-09-23,10:45,6.29,0.75
2020-09-23,11:00,10.13,1.57
2020-09-23,11:15,16.52,3.16
2020-09-23,11:30,17.78,2.04
2020-09-23,11:45,14.47,3.13
2020-09-23,12:00,24.46,6.96
2020-09-23,12:15,30.52,3.41
2020-09-23,12:30,27.76,7.82
2020-09-23,12:45,28.53,3.31
2020-09-23,13:00,29.66,3.22
2020-09-23,13:15,6.58,1.83
2020-09-23,13:30,2.98,0.54
2020-09-23,13:45,2.25,0.34
2020-09-23,14:00,1.34,0.56
2020-09-23,14:15,0.85,1.03
2020-09-23,14:30,0.87,0.59
2020-09-23,14:45,3.59,1.2
2020-09-23,15:00,6.83,0.51
2020-09-23,15:15,5.23,0.78
2020-09-23,15:30,1.4,1.6
2020-09-23,15:45,6.74,1.98
2020-09-23,16:00,1.4,0.76
2020-09-23,16:15,42.47,6.43
2020-09-23,16:30,24.22,6.49
2020-09-23,16:45,22.33,3.85
2020-09-23,17:00,24.56,9.63
2020-09-23,17:15,37.24,9.08
2020-09-23,17:30,44.42,8.37
2020-09-23,17:45,34.94,5.77
2020-09-23,18:00,17.92,3.4
2020-09-23,18:15,22.15,8.15
2020-09-23,18:30,34.41,10.24
2020-09-23,18:45,30.13,5.38
2020-09-23,19:00,16.7,1.49
2020-09-23,19:15,27.64,2.46
2020-09-23,19:30,18.22,4.08
2020-09-23,19:45,10.05,2.31
2020-09-23,20:00,18.81,2.66
2020-09-23,20:15,3.0,4.48
2020-09-23,20:30,8.76,3.11
2020-09-23,20:45,6.65,2.19
2020-09-23,21:00,19.21,2.54
2020-09-23,21:15,23.36,5.02
2020-09-23,21:30,20.88,2.37
2020-09-23,21:45,17.23,8.83
2020-09-23,22:00,12.53,1.42
2020-09-23,22:15,17.01,5.55
2020-09-23,22:30,23.09,3.74
2020-09-23,22:45,8.65,1.07
2020-09-23,23:00,25.48,3.75
2020-09-24,09:02,9.62,0.37
2020-09-24,09:15,27.42,10.41
2020-09-24,09:30,21.63,2.25
2020-09-24,09:45,41.77,10.76
2020-09-24,10:00,23.27,9.78
